citizen_id,party_voted_past,mvar1,mvar2,mvar3,mvar4,mvar5,mvar11,mvar12,mvar13,mvar14,mvar15,mvar16,mvar17,mvar18,mvar19,mvar20,mvar21,mvar22,mvar23,mvar24,mvar25,mvar26,mvar27,mvar28,mvar29,mvar30,mvar31,mvar32,mvar33
C130027,Cosmos,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,3,46-55,1,0,Diploma,7,AJI,AJI
C130028,Centaur,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,5,15,0,0,0,1,18-24,0,1,Degree,6,ASE,ACL
C130029,Cosmos,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,3,46-55,1,0,Degree,8,AHR,ATI
C130030,Odyssey,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,1,25-35,0,1,Diploma,8,AOV,AOV
C130031,Tokugawa,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,1,55+,0,0,Degree,9,AOV,AJV
C130032,Ebony,2,4,2,0,1,0,0,0,0,0,2,0,1,0,0,15,12,15,0,15,4,46-55,1,0,Diploma,5,ANQ,ANQ
C130033,Tokugawa,2,3,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,15,0,0,1,25-35,0,0,Diploma,8,ADV,AEC
C130034,Ebony,0,7,0,0,0,0,1,0,0,0,0,3,0,0,0,0,15,0,0,0,3,18-24,1,0,Diploma,7,AMZ,AMZ
C130035,Odyssey,3,0,0,15,0,1,0,0,1,0,0,0,0,1,0,15,0,0,15,0,3,46-55,1,0,Masters,7,AXT,AXT
C130036,Cosmos,8,0,1,0,13,1,0,0,0,3,2,0,1,0,0,5,0,10,0,7,3,55+,1,1,Masters,9,ANQ,AJI
C130037,Cosmos,2,2,0,7,18,0,0,0,1,0,0,2,0,0,0,15,15,0,15,15,3,18-24,0,0,Degree,5,ATG,ATG
C130038,Ebony,1,6,2,0,0,0,0,0,0,0,0,1,1,0,0,15,15,15,0,0,1,25-35,0,0,Masters,6,AZG,AZG
C130039,Odyssey,0,0,0,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,15,4,46-55,1,0,Degree,7,AXT,AWX
C130040,Ebony,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,3,25-35,1,0,Masters,6,AZG,AZG
C130041,Cosmos,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,1,46-55,1,1,Degree,8,AGA,ATU
C130042,Centaur,6,0,0,11,0,2,0,0,2,0,0,0,0,0,0,12,0,0,15,0,4,36-45,1,0,Primary,8,AHS,AHJ
C130043,Ebony,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,3,25-35,1,1,Primary,7,AEO,ABX
C130044,Odyssey,3,0,2,4,1,1,0,0,1,0,0,0,1,1,0,10,0,15,15,15,1,46-55,0,0,Degree,6,AHO,ABA
C130045,Odyssey,0,5,0,21,0,0,0,0,3,0,0,0,0,0,0,0,3,0,14,15,3,18-24,1,1,Degree,6,AQT,AQT
C130046,Centaur,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,15,0,15,0,0,1,36-45,0,1,Degree,8,APH,ANQ
C130047,Tokugawa,0,3,19,0,0,0,0,3,0,0,0,0,5,0,0,0,15,15,0,0,1,46-55,1,0,Diploma,6,AQU,AQU
C130048,Cosmos,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,1,36-45,1,1,Primary,6,ATI,AQX
C130049,Tokugawa,1,2,8,0,0,0,0,1,0,0,0,2,2,0,0,15,15,15,0,15,3,36-45,0,0,Degree,6,AJV,AJV
C130050,Odyssey,0,3,0,10,0,0,1,0,1,0,0,0,0,3,0,0,15,0,15,0,1,25-35,0,0,Masters,9,AYE,AYE
C130051,Ebony,0,19,0,0,0,0,3,0,0,0,0,2,0,0,0,0,15,0,0,0,3,25-35,1,0,Masters,7,ABX,ABX
C130052,Centaur,7,1,2,2,3,2,0,1,1,0,0,1,0,0,0,15,15,15,15,15,1,25-35,1,1,Primary,7,AEC,ATI
C130053,Tokugawa,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,15,10,15,0,0,1,25-35,1,0,Primary,7,ACD,ACD
C130054,Odyssey,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,15,0,0,15,0,4,46-55,1,0,Degree,7,AMH,AVJ
C130055,Ebony,0,20,0,0,0,0,1,0,0,0,0,4,0,0,0,0,15,0,0,0,1,36-45,1,0,Masters,7,ALH,ALH
C130056,Odyssey,0,0,0,7,1,0,0,0,0,0,0,0,0,3,0,0,0,0,15,15,1,25-35,0,0,Diploma,7,AET,AET
C130057,Tokugawa,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,0,0,3,25-35,1,0,Primary,8,ATV,ATV
C130058,Ebony,0,14,0,1,1,0,0,0,0,0,0,8,0,0,0,0,10,0,15,0,3,18-24,1,0,Degree,7,ASE,ASE
C130059,Cosmos,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,15,15,0,0,0,4,46-55,1,0,Diploma,8,ACL,ABX
C130060,Odyssey,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,10,0,10,12,3,55+,1,1,Primary,9,ADV,ADV
C130061,Odyssey,0,0,2,18,0,0,0,1,6,0,0,0,0,0,0,0,0,15,15,0,3,18-24,0,1,Masters,7,AXR,AXT
C130062,Odyssey,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,15,15,0,15,15,2,18-24,1,1,Masters,8,ACL,AMZ
C130063,Ebony,5,5,0,0,1,1,0,0,0,0,0,3,0,0,0,3,5,0,0,0,1,36-45,1,0,Degree,7,ATI,ATI
C130064,Cosmos,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,15,15,0,15,4,25-35,0,0,Primary,7,ACL,AMR
C130065,Cosmos,0,0,1,1,3,0,0,0,0,0,0,0,1,0,1,0,0,10,0,7,3,46-55,0,1,Masters,4,ATU,AJV
C130066,Centaur,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,36-45,0,0,Diploma,10,ACN,AQJ
C130067,Odyssey,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,4,36-45,1,0,Masters,9,ACL,AZG
C130068,Centaur,12,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,4,25-35,0,0,Degree,8,ACD,ACD
C130069,Cosmos,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,55+,1,0,Degree,7,AWX,AUX
C130070,Cosmos,2,3,0,0,1,0,1,0,0,0,0,0,0,0,1,15,15,0,0,15,4,18-24,0,0,Masters,7,ALE,ALE
C130071,Centaur,7,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,15,0,1,36-45,1,1,Masters,5,ANQ,ANG
C130072,Ebony,2,6,0,0,2,0,0,0,0,1,0,4,0,0,0,15,15,0,0,15,4,55+,1,1,Diploma,6,AXT,AXT
C130073,Tokugawa,0,4,9,2,0,0,1,2,1,0,0,0,2,0,0,0,7,9,15,0,4,18-24,1,0,Degree,7,ANQ,AQU
C130074,Ebony,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4,55+,1,0,Masters,7,AYS,ACL
C130075,Ebony,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,1,25-35,0,0,Masters,6,ABX,ABX
C130076,Odyssey,1,2,6,5,2,0,0,1,2,1,0,1,2,0,0,15,15,15,15,15,1,25-35,1,0,Degree,6,AEC,AJI
C130077,Odyssey,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,15,15,0,15,0,4,46-55,0,1,Degree,8,ADV,ADV
C130078,Odyssey,5,0,0,8,0,1,0,0,0,0,0,0,0,2,0,10,0,0,15,0,4,25-35,1,1,Masters,7,AHS,AHJ
C130079,Centaur,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,15,0,0,0,1,46-55,0,0,Diploma,0,AHO,ARK
C130080,Ebony,0,11,0,0,0,0,1,0,0,0,0,6,0,0,0,0,15,0,0,0,3,46-55,1,0,Masters,7,ABX,ABX
C130081,Cosmos,8,2,0,0,2,1,0,0,0,0,0,1,0,0,0,8,0,0,0,15,1,25-35,0,0,Diploma,8,AYQ,AZG
C130082,Cosmos,0,0,0,2,16,0,0,0,1,1,0,0,0,0,0,0,0,0,15,15,1,46-55,1,1,Degree,8,AJV,AJV
C130083,Ebony,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,15,0,15,0,4,46-55,1,0,Primary,7,APR,ACL
C130084,Ebony,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,1,36-45,0,0,Diploma,6,AHO,ABX
C130085,Ebony,0,3,0,0,1,0,0,0,0,0,0,2,0,0,1,0,12,0,0,7,4,25-35,0,0,Degree,6,AWW,APF
C130086,Tokugawa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,4,18-24,1,1,Degree,8,ACL,AEC
C130087,Cosmos,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,1,46-55,1,0,Degree,8,AJI,AJI
C130088,Tokugawa,5,0,18,0,0,2,0,3,0,0,0,0,6,0,0,15,15,15,0,0,3,55+,1,0,Degree,7,AEC,AEC
C130089,Cosmos,0,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,15,15,3,55+,1,0,Masters,7,AOV,ATV
C130090,Ebony,3,7,0,0,0,0,0,0,0,0,0,2,0,0,0,7,8,0,0,0,3,36-45,0,0,Diploma,5,APH,APH
C130091,Ebony,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,4,55+,1,1,Degree,6,ATU,ATU
C130092,Tokugawa,5,1,8,5,0,0,0,0,0,0,1,1,1,0,0,15,15,15,15,0,1,36-45,1,1,Masters,5,AJV,AJV
C130093,Centaur,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18-24,1,1,Masters,5,APH,ADV
C130094,Tokugawa,0,0,12,0,1,0,0,2,0,0,0,0,2,0,0,0,0,15,0,15,2,55+,1,0,Diploma,9,AEC,AEC
C130095,Ebony,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,55+,1,1,Masters,6,ABX,ACL
C130096,Tokugawa,0,3,6,0,0,0,0,0,0,0,0,1,1,0,0,0,15,12,0,0,3,25-35,1,1,Degree,8,APH,ACL
C130097,Odyssey,0,5,0,8,0,0,1,0,0,0,0,2,0,1,0,0,15,0,15,0,3,46-55,1,0,Primary,7,AII,AII
C130098,Centaur,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,4,36-45,1,0,Diploma,6,ANG,ATU
C130099,Centaur,9,0,0,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,15,11,3,36-45,1,1,Diploma,9,AOX,AOX
C130100,Centaur,14,0,0,0,0,1,0,0,0,0,2,0,0,0,0,7,0,0,0,0,3,25-35,0,0,Diploma,6,AHS,AHS
C130101,Centaur,6,1,0,0,0,1,0,0,0,0,0,1,0,0,0,15,15,0,0,15,1,55+,1,0,Primary,6,AHS,AHR
C130102,Centaur,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,15,0,15,0,3,25-35,0,0,Primary,4,ACL,AOV
C130103,Ebony,0,20,0,0,0,0,1,0,0,0,0,8,0,0,0,0,9,0,0,0,1,36-45,1,0,Masters,8,APH,APH
C130104,Cosmos,0,0,0,4,11,0,0,0,0,4,0,0,0,1,1,15,0,0,15,12,4,18-24,1,0,Masters,7,AQX,ATI
C130105,Cosmos,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,1,25-35,1,1,Degree,8,AJI,AJI
C130106,Odyssey,1,4,0,3,1,0,1,0,0,0,0,0,0,1,0,12,8,0,15,0,1,36-45,1,1,Degree,7,AJV,AJV
C130107,Cosmos,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,15,0,0,3,1,25-35,1,0,Masters,6,AWW,AVH
C130108,Odyssey,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,3,25-35,1,0,Diploma,5,AWX,AXG
C130109,Ebony,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,25-35,0,1,Masters,7,ABX,ABX
C130110,Cosmos,4,2,0,0,5,1,0,0,0,2,0,1,0,0,0,15,0,0,0,15,3,55+,1,0,Masters,7,AVJ,ACD
C130111,Ebony,0,13,0,0,0,0,2,0,0,0,0,3,0,0,0,0,15,0,0,0,4,25-35,1,1,Masters,8,AVS,AVS
C130112,Centaur,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,4,25-35,1,0,Masters,6,AWI,AWI
C130113,Odyssey,0,0,0,11,0,0,0,0,2,0,0,0,0,1,0,0,0,0,15,0,2,25-35,1,0,Diploma,7,AQX,AQX
C130114,Ebony,0,11,0,0,0,0,1,0,0,0,0,6,0,0,0,0,15,0,0,0,3,18-24,1,0,Masters,8,ACO,ACO
C130115,Centaur,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,18-24,1,0,Masters,6,BAN,ACD
C130116,Cosmos,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,4,46-55,1,0,Diploma,6,AWW,AWW
C130117,Ebony,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,0,0,0,3,46-55,1,1,Masters,10,ABX,ABX
C130118,Odyssey,6,0,0,4,0,2,0,0,1,0,0,0,0,0,0,15,0,0,15,0,2,36-45,1,0,Masters,6,ADV,ADV
C130119,Tokugawa,0,0,16,0,0,0,0,2,0,0,0,0,5,0,0,0,0,15,0,0,3,55+,1,0,Diploma,6,AHR,AEC
C130120,Odyssey,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,15,0,0,15,0,1,55+,1,1,Masters,7,AES,AXR
C130121,Centaur,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,15,0,0,0,4,25-35,1,0,Masters,0,ABX,ARK
C130122,Ebony,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10,15,0,0,4,55+,0,0,Primary,5,AVJ,AJP
C130123,Tokugawa,0,0,15,0,0,0,0,3,0,0,0,0,1,0,0,0,0,15,0,0,3,25-35,1,0,Degree,8,AWD,ANQ
C130124,Cosmos,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,55+,1,1,Masters,8,AEC,AEC
C130125,Tokugawa,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,15,15,0,1,46-55,1,0,Degree,8,AJV,AOV
C130126,Odyssey,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,3,25-35,1,0,Masters,7,AUJ,AUJ
C130127,Odyssey,0,1,0,7,0,0,0,0,0,0,0,0,0,2,0,0,15,0,15,0,4,36-45,0,0,Degree,7,AXT,AXT
C130128,Tokugawa,0,0,11,0,0,0,0,1,0,0,0,0,5,0,0,0,0,15,0,0,4,36-45,0,1,Primary,5,AJV,AXL
C130129,Ebony,0,16,0,0,0,0,2,0,0,0,0,2,0,0,0,0,14,0,0,0,2,25-35,0,0,Diploma,6,APH,APH
C130130,Ebony,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,1,36-45,1,1,Diploma,8,AVS,AVS
C130131,Centaur,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,55+,0,0,Degree,6,AHS,AHS
C130132,Ebony,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,3,46-55,1,1,Masters,7,ABX,ABX
C130133,Cosmos,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,1,25-35,0,0,Primary,5,AOV,ATG
C130134,Ebony,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,4,36-45,1,0,Degree,6,ASE,ASE
C130135,Odyssey,2,4,0,21,0,0,0,0,4,0,0,1,0,2,0,0,2,0,5,0,1,46-55,0,0,Degree,7,AGD,AGD
C130136,Ebony,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,4,36-45,1,0,Masters,7,ATU,ACL
C130137,Odyssey,0,0,0,6,0,0,0,0,2,0,0,0,0,1,0,0,0,0,15,0,4,46-55,0,0,Masters,6,AOV,AOV
C130138,Centaur,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,36-45,1,1,Primary,5,ACL,APH
C130139,Cosmos,9,2,0,0,10,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,25-35,1,0,Diploma,6,AXT,AXT
C130140,Cosmos,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,15,0,0,15,1,46-55,0,0,Degree,7,ACL,AEO
C130141,Cosmos,3,4,0,0,2,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,4,25-35,1,0,Masters,7,AEC,ANQ
C130142,Ebony,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,3,55+,0,1,Degree,10,AWI,ACL
C130143,Tokugawa,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,4,18-24,0,0,Diploma,7,AJV,AJV
C130144,Ebony,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,1,25-35,0,0,Degree,5,ABK,AUV
C130145,Cosmos,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,55+,0,0,Masters,6,AMS,AMS
C130146,Tokugawa,0,0,12,0,0,0,0,2,0,0,0,0,1,0,0,0,0,15,0,0,4,36-45,0,0,Diploma,6,ANQ,ANQ
C130147,Odyssey,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,25-35,1,1,Masters,6,AUE,ACL
C130148,Tokugawa,2,0,5,0,0,1,0,0,0,0,0,0,2,0,0,11,0,8,0,0,3,46-55,1,0,Masters,7,ANQ,AKK
C130149,Cosmos,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,3,46-55,1,0,Diploma,7,AMR,AMR
C130150,Odyssey,2,0,0,9,2,0,0,0,2,0,1,0,0,0,0,15,0,0,15,15,3,46-55,0,0,Primary,4,AUE,AUE
C130151,Ebony,7,5,11,1,0,0,0,0,0,0,0,2,3,0,0,7,4,14,15,0,3,25-35,1,0,Diploma,8,AJV,AJV
C130152,Centaur,9,0,0,3,0,3,0,0,1,0,1,0,0,0,0,11,0,0,15,0,1,18-24,0,0,Diploma,7,AHS,AHS
C130153,Ebony,0,13,0,0,0,0,1,0,0,0,0,3,0,0,0,0,15,0,0,0,1,25-35,1,1,Masters,6,ASC,ASC
C130154,Centaur,5,0,0,5,2,0,0,0,0,0,0,0,0,2,0,15,0,0,15,15,3,18-24,1,0,Masters,7,AET,ATF
C130155,Ebony,0,9,0,0,0,0,1,0,0,0,0,2,0,0,0,0,12,0,0,0,4,55+,1,0,Masters,8,ABX,ABX
C130156,Centaur,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,3,18-24,1,0,Degree,8,AQT,ADV
C130157,Cosmos,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,4,36-45,1,0,Diploma,2,ATX,AXX
C130158,Tokugawa,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,3,46-55,1,0,Degree,6,AJI,AJI
C130159,Odyssey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,3,18-24,1,0,Diploma,7,ACL,AXT
C130160,Odyssey,5,0,0,4,0,1,0,0,1,0,0,0,0,0,0,15,15,0,15,15,1,25-35,0,1,Degree,3,AMZ,AJI
C130161,Ebony,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,0,0,4,18-24,0,0,Diploma,8,AKN,AKN
C130162,Cosmos,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,15,0,15,0,15,3,18-24,1,1,Diploma,7,ACL,APH
C130163,Ebony,12,9,0,0,0,3,3,0,0,0,0,0,0,0,0,15,15,0,0,0,2,25-35,0,0,Diploma,6,ABX,AWX
C130164,Odyssey,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15,15,4,18-24,0,0,Primary,5,AHR,AHR
C130165,Odyssey,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,15,0,15,0,1,25-35,0,0,Degree,6,AVV,AWI
C130166,Odyssey,0,0,2,9,0,0,0,1,2,0,0,0,0,0,0,15,0,15,15,0,1,46-55,0,0,Masters,9,AJV,ABX
C130167,Centaur,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,15,15,0,15,0,1,36-45,1,1,Degree,8,AQT,AQT
C130168,Centaur,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,25-35,0,0,Masters,6,ARK,ARK
C130169,Centaur,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,4,25-35,0,0,Masters,5,BBK,AOV
C130170,Ebony,0,8,0,0,0,0,1,0,0,0,0,4,0,0,0,0,3,0,0,0,1,25-35,1,0,Degree,6,ATU,ATU
C130171,Centaur,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,4,36-45,1,0,Diploma,6,AOX,AOX
C130172,Centaur,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,1,25-35,1,0,Degree,7,AHS,AMZ
C130173,Ebony,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,15,0,0,0,1,18-24,1,0,Diploma,7,AII,AII
C130174,Odyssey,0,0,0,9,2,0,0,0,1,0,0,0,0,2,0,0,0,0,15,15,4,46-55,0,0,Masters,8,ATJ,AQX
C130175,Odyssey,1,2,0,8,0,0,1,0,0,0,0,0,0,1,0,15,15,0,15,0,4,46-55,0,0,Degree,7,ASF,ABX
C130176,Tokugawa,0,0,6,1,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,3,55+,0,0,Masters,6,AAE,AAE
C130177,Odyssey,0,3,0,7,0,0,1,0,0,0,0,0,0,1,0,0,15,0,15,0,3,46-55,1,0,Masters,8,APH,ADV
C130178,Ebony,0,18,0,0,0,0,3,0,0,0,0,1,0,0,0,0,5,0,0,0,3,25-35,1,0,Masters,7,ABX,ABX
C130179,Odyssey,2,0,0,15,0,0,0,0,5,0,2,0,0,0,0,15,0,0,15,0,3,55+,0,1,Masters,8,AQX,AQX
C130180,Cosmos,2,0,4,0,8,1,0,2,0,2,0,0,0,0,0,15,0,15,0,15,1,25-35,1,1,Degree,5,AMR,ATI
C130181,Cosmos,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,4,36-45,1,1,Degree,8,AUQ,ATX
C130182,Centaur,13,2,0,0,2,4,0,0,0,1,0,1,0,0,0,5,0,0,0,15,2,25-35,1,0,Degree,8,APH,APH
C130183,Cosmos,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,25-35,0,1,Masters,7,ANQ,ACL
C130184,Centaur,2,2,2,0,2,0,0,0,0,0,2,1,2,0,2,0,7,10,0,7,4,46-55,1,1,Masters,6,ANQ,AJI
C130185,Tokugawa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,1,55+,1,1,Primary,6,AWX,ACL
